name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Sudowoodo,2023-04,Leftovers,52.832,Rocky Helmet,17.759,Choice Band,6.079,Life Orb,4.416,Mental Herb,4.140,Red Card,3.900,Heat Rock,3.248,Focus Sash,1.407,Heavy-Duty Boots,1.299,Other,4.919,,,,,,,,,,,,,,,,,,,,,,
Swalot,2023-04,Leftovers,72.623,Black Sludge,9.897,Rocky Helmet,4.634,Assault Vest,4.038,Red Card,3.105,Chesto Berry,1.382,Other,4.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxray,2023-04,Flame Orb,83.931,Leftovers,5.766,Heavy-Duty Boots,2.192,Rocky Helmet,2.111,Assault Vest,1.791,Other,4.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scovillain,2023-04,Choice Scarf,53.300,Heavy-Duty Boots,16.427,Choice Specs,12.351,Life Orb,9.066,Leftovers,2.035,Expert Belt,1.264,Focus Sash,1.178,Other,4.379,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian,2023-04,Silk Scarf,42.299,Heavy-Duty Boots,28.335,Life Orb,10.171,Normal Gem,9.308,Heat Rock,1.717,Loaded Dice,1.298,Focus Sash,1.131,Choice Specs,1.052,Other,4.689,,,,,,,,,,,,,,,,,,,,,,,,
Toedscool,2023-04,Eviolite,98.286,Other,1.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunsparce,2023-04,Eviolite,98.433,Other,1.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastly,2023-04,Choice Scarf,70.601,Focus Sash,8.743,Life Orb,6.660,Choice Specs,6.623,Eviolite,2.782,Other,4.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gothitelle,2023-04,Leftovers,35.155,Choice Specs,26.251,Choice Scarf,23.676,Assault Vest,3.346,Life Orb,2.607,Heavy-Duty Boots,2.290,Electric Seed,1.344,Blunder Policy,1.117,Other,4.213,,,,,,,,,,,,,,,,,,,,,,,,
Leafeon,2023-04,Leftovers,41.535,Life Orb,15.412,Heavy-Duty Boots,10.390,Lum Berry,6.873,Rocky Helmet,4.991,Muscle Band,3.969,Choice Scarf,3.064,Choice Band,3.045,Loaded Dice,2.816,Razor Claw,1.544,Covert Cloak,1.218,Heat Rock,1.028,Other,4.114,,,,,,,,,,,,,,,,
Fletchinder,2023-04,Heavy-Duty Boots,90.571,Eviolite,7.735,Other,1.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flareon,2023-04,Heavy-Duty Boots,47.233,Toxic Orb,42.304,Flame Orb,3.726,Leftovers,2.226,Other,4.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sneasel,2023-04,Focus Sash,34.624,Choice Band,20.641,Heavy-Duty Boots,20.226,Eviolite,14.310,Life Orb,8.342,Other,1.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxure,2023-04,Eviolite,72.909,Choice Band,14.331,Lum Berry,4.154,Choice Scarf,3.438,Life Orb,3.420,Other,1.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedenne,2023-04,Choice Specs,52.816,Choice Scarf,14.443,Sitrus Berry,12.485,Heavy-Duty Boots,5.672,Petaya Berry,4.209,Magnet,3.733,Life Orb,1.576,Aguav Berry,0.913,Other,4.154,,,,,,,,,,,,,,,,,,,,,,,,
Lumineon,2023-04,Heavy-Duty Boots,27.645,Leftovers,24.467,Choice Specs,23.579,Choice Scarf,8.416,Life Orb,7.255,Assault Vest,3.109,Mystic Water,3.006,Other,2.524,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumpluff,2023-04,Nothing,57.685,Choice Scarf,12.633,Heavy-Duty Boots,10.223,Heat Rock,5.941,Electric Seed,4.622,Leftovers,3.035,Damp Rock,1.990,Other,3.870,,,,,,,,,,,,,,,,,,,,,,,,,,
Beartic,2023-04,Heavy-Duty Boots,62.048,Life Orb,17.728,Choice Band,13.096,Leftovers,2.261,Other,4.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slaking,2023-04,Choice Band,87.586,Choice Scarf,6.473,Assault Vest,2.069,Other,3.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawniard,2023-04,Eviolite,98.611,Other,1.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girafarig,2023-04,Eviolite,87.124,Choice Scarf,8.525,Other,4.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mareanie,2023-04,Eviolite,99.732,Other,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eiscue,2023-04,Salac Berry,31.420,Sitrus Berry,18.708,Rocky Helmet,16.774,Choice Specs,13.911,Heavy-Duty Boots,10.697,Leftovers,2.875,Assault Vest,1.076,Other,4.539,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigoroth,2023-04,Eviolite,99.429,Other,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kricketune,2023-04,Focus Sash,89.160,Choice Scarf,5.122,Heavy-Duty Boots,2.328,Other,3.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glalie,2023-04,Focus Sash,42.444,Heavy-Duty Boots,36.817,Life Orb,10.181,Choice Specs,4.216,Choice Band,2.472,Other,3.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krokorok,2023-04,Eviolite,44.537,Focus Sash,34.585,Choice Scarf,17.591,Other,3.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murkrow,2023-04,Life Orb,20.797,Heat Rock,17.461,Heavy-Duty Boots,15.779,Damp Rock,15.699,Eviolite,13.305,Choice Specs,6.548,Power Herb,3.549,Choice Band,1.501,Choice Scarf,1.482,Other,3.878,,,,,,,,,,,,,,,,,,,,,,
Seviper,2023-04,Choice Scarf,38.723,Choice Specs,23.307,Leftovers,20.208,Life Orb,7.666,Black Sludge,2.934,Heavy-Duty Boots,1.381,Salac Berry,1.086,Other,4.695,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandygast,2023-04,Eviolite,99.987,Other,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delibird,2023-04,Heavy-Duty Boots,71.388,Focus Sash,21.087,Choice Band,4.780,Other,2.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oranguru,2023-04,Leftovers,69.804,Chesto Berry,6.864,Choice Specs,6.498,Assault Vest,5.909,Choice Scarf,3.954,Life Orb,1.465,Weakness Policy,1.097,Other,4.410,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropius,2023-04,Sitrus Berry,89.131,Heavy-Duty Boots,2.451,Choice Specs,2.065,Leftovers,1.453,Other,4.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stantler,2023-04,Eviolite,42.401,Choice Scarf,26.728,Choice Band,12.367,Choice Specs,7.499,Leftovers,4.592,Silk Scarf,1.652,Other,4.760,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pikachu,2023-04,Light Ball,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypno,2023-04,Leftovers,48.788,Choice Specs,13.315,Blunder Policy,9.183,Life Orb,7.522,Heavy-Duty Boots,3.626,Electric Seed,3.197,Choice Band,2.583,Weakness Policy,2.414,Mirror Herb,1.495,Heat Rock,1.459,Mental Herb,1.297,Assault Vest,1.245,Other,3.874,,,,,,,,,,,,,,,,
Shelgon,2023-04,Eviolite,99.791,Other,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wigglytuff,2023-04,Leftovers,65.338,Heavy-Duty Boots,11.048,Damp Rock,6.602,Sitrus Berry,4.211,Life Orb,3.518,Heat Rock,3.182,Choice Specs,1.844,Other,4.257,,,,,,,,,,,,,,,,,,,,,,,,,,
Snover,2023-04,Icy Rock,85.818,Eviolite,11.233,Other,2.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shroodle,2023-04,Heat Rock,54.991,Damp Rock,28.592,Eviolite,7.584,Electric Seed,3.251,Focus Sash,1.761,Other,3.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pincurchin,2023-04,Heavy-Duty Boots,33.367,Leftovers,26.175,Terrain Extender,10.978,Rocky Helmet,10.305,Life Orb,7.736,Eject Button,2.558,Choice Specs,2.311,Shuca Berry,1.348,Damp Rock,0.970,Other,4.253,,,,,,,,,,,,,,,,,,,,,,
Meditite,2023-04,Choice Band,36.078,Choice Scarf,21.316,Life Orb,20.124,Eviolite,19.830,Other,2.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippopotas,2023-04,Eviolite,99.745,Other,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bramblin,2023-04,Eviolite,96.733,Other,3.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliggoo,2023-04,Eviolite,97.823,Other,2.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corvisquire,2023-04,Eviolite,89.923,Heavy-Duty Boots,9.765,Other,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pupitar,2023-04,Eviolite,96.925,Other,3.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumshoos,2023-04,Choice Band,80.724,Choice Scarf,6.216,Assault Vest,2.416,Silk Scarf,2.004,Life Orb,1.604,Metronome,1.505,Heavy-Duty Boots,1.345,Other,4.185,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudbray,2023-04,Eviolite,99.731,Other,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewott,2023-04,Eviolite,90.915,Choice Band,3.679,Life Orb,3.097,Other,2.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greedent,2023-04,Sitrus Berry,55.083,Aguav Berry,9.433,Apicot Berry,9.070,Starf Berry,8.723,Ganlon Berry,6.769,Leftovers,5.762,Liechi Berry,2.172,Other,2.988,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweilous,2023-04,Eviolite,79.974,Choice Band,10.971,Choice Scarf,6.619,Other,2.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgrem,2023-04,Eviolite,85.320,Choice Specs,8.203,Leftovers,3.044,Other,3.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eelektrik,2023-04,Eviolite,97.513,Other,2.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pachirisu,2023-04,Leftovers,66.333,Assault Vest,21.865,Heat Rock,5.130,Heavy-Duty Boots,4.304,Other,2.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cufant,2023-04,Eviolite,99.953,Other,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oinkologne-F,2023-04,Leftovers,53.275,Assault Vest,18.336,Ganlon Berry,10.867,Heat Rock,8.321,Apicot Berry,3.625,Liechi Berry,2.037,Other,3.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greavard,2023-04,Eviolite,98.658,Other,1.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oinkologne,2023-04,Apicot Berry,32.068,Leftovers,17.217,Salac Berry,16.112,Choice Band,13.701,Liechi Berry,7.060,Assault Vest,6.768,Rocky Helmet,1.637,Eject Button,1.608,Other,3.830,,,,,,,,,,,,,,,,,,,,,,,,
Sinistea,2023-04,Focus Sash,89.220,Eviolite,10.266,Other,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floragato,2023-04,Choice Scarf,47.963,Choice Band,17.096,Eviolite,9.905,Heavy-Duty Boots,9.424,Life Orb,7.029,Electric Seed,5.733,Other,2.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzor,2023-04,Eviolite,94.388,Lagging Tail,2.896,Other,2.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flittle,2023-04,Eviolite,55.498,Petaya Berry,30.396,Starf Berry,8.573,Leftovers,2.965,Other,2.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatenna,2023-04,Eviolite,71.766,Terrain Extender,21.381,Focus Sash,3.171,Other,3.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floette,2023-04,Eviolite,98.629,Other,1.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
