name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Sudowoodo,2023-04,Luxray,32.275,Swalot,31.305,Scovillain,27.962,Toedscool,21.020,Gothitelle,19.289,Persian,18.784,Fletchinder,18.301,Leafeon,18.141,Gastly,17.965,Sneasel,17.225,Jumpluff,15.249,,
Swalot,2023-04,Sudowoodo,45.081,Toedscool,26.194,Persian,24.665,Gothitelle,22.818,Dunsparce,21.371,Luxray,21.324,Scovillain,17.302,Jumpluff,16.794,Dedenne,15.117,Fletchinder,14.802,Leafeon,13.968,,
Luxray,2023-04,Sudowoodo,50.066,Gastly,27.740,Scovillain,26.276,Dunsparce,24.084,Swalot,22.970,Fraxure,18.412,Gothitelle,15.785,Sneasel,15.003,Girafarig,14.676,Fletchinder,13.468,Persian,12.829,,
Scovillain,2023-04,Sudowoodo,45.631,Luxray,27.643,Slaking,22.187,Sneasel,21.958,Swalot,19.607,Fletchinder,19.148,Persian,18.742,Beartic,15.642,Kricketune,15.137,Leafeon,15.067,Toedscool,13.990,,
Persian,2023-04,Sudowoodo,36.274,Swalot,33.075,Scovillain,22.178,Leafeon,19.765,Fletchinder,18.319,Gothitelle,18.073,Toedscool,17.119,Mareanie,16.756,Luxray,15.970,Dedenne,13.848,Flareon,12.368,,
Toedscool,2023-04,Sudowoodo,45.039,Swalot,38.975,Dunsparce,22.029,Gothitelle,19.477,Persian,18.995,Scovillain,18.368,Flareon,17.819,Luxray,17.661,Dedenne,17.272,Lumineon,16.704,Seviper,11.517,,
Dunsparce,2023-04,Luxray,34.395,Swalot,32.878,Sudowoodo,31.082,Gastly,26.490,Toedscool,22.776,Fraxure,18.318,Flareon,15.668,Shelgon,15.141,Gothitelle,15.068,Fletchinder,14.580,Dedenne,14.487,,
Gastly,2023-04,Sudowoodo,41.405,Luxray,41.214,Dunsparce,27.558,Swalot,21.951,Flareon,18.199,Fraxure,17.358,Glalie,17.168,Kricketune,16.858,Lumineon,15.256,Krokorok,14.867,Leafeon,13.533,,
Gothitelle,2023-04,Sudowoodo,44.997,Swalot,36.963,Luxray,23.737,Persian,21.832,Toedscool,21.205,Fletchinder,21.187,Jumpluff,18.170,Leafeon,17.130,Dunsparce,15.866,Scovillain,14.609,Mareanie,13.320,,
Leafeon,2023-04,Sudowoodo,43.864,Persian,24.748,Swalot,23.453,Scovillain,22.325,Flareon,18.964,Gothitelle,17.756,Luxray,15.877,Dunsparce,15.811,Dedenne,14.938,Glalie,14.801,Fletchinder,14.245,,
Fletchinder,2023-04,Sudowoodo,44.286,Sneasel,28.968,Scovillain,28.393,Swalot,24.873,Persian,22.955,Slaking,22.307,Gothitelle,21.978,Luxray,21.010,Beartic,17.605,Dunsparce,15.926,Leafeon,14.256,,
Flareon,2023-04,Sudowoodo,33.631,Swalot,22.835,Toedscool,21.056,Gastly,19.993,Leafeon,19.858,Luxray,18.858,Dunsparce,17.907,Persian,16.216,Eiscue,15.696,Scovillain,14.314,Gothitelle,13.005,,
Sneasel,2023-04,Sudowoodo,50.414,Scovillain,39.381,Fletchinder,35.038,Slaking,29.629,Luxray,28.308,Swalot,17.759,Fraxure,17.296,Gastly,12.985,Flareon,12.875,Toedscool,12.169,Lumineon,12.086,,
Fraxure,2023-04,Sudowoodo,43.968,Luxray,35.300,Girafarig,32.823,Dunsparce,24.591,Swalot,24.046,Gastly,22.399,Scovillain,21.972,Sneasel,17.575,Toedscool,15.536,Slaking,13.642,Lumineon,12.335,,
Dedenne,2023-04,Sudowoodo,35.349,Swalot,31.729,Toedscool,24.365,Persian,21.675,Dunsparce,19.766,Leafeon,18.673,Scovillain,15.721,Lumineon,15.670,Flareon,13.829,Jumpluff,13.402,Fletchinder,13.339,,
Lumineon,2023-04,Sudowoodo,31.200,Swalot,25.643,Toedscool,24.462,Luxray,20.802,Gastly,20.771,Glalie,19.414,Murkrow,19.125,Persian,19.000,Pawniard,18.702,Scovillain,18.108,Beartic,17.799,,
Jumpluff,2023-04,Sudowoodo,47.570,Swalot,36.380,Gothitelle,24.300,Luxray,21.144,Scovillain,19.607,Slaking,18.416,Kricketune,15.779,Toedscool,14.145,Dedenne,13.832,Gastly,13.733,Fletchinder,12.898,,
