name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Magearna,2023-11,Soul-Heart,100.000,,,,
Zacian,2023-11,Intrepid Sword,100.000,,,,
Cyclizar,2023-11,Regenerator,98.877,Shed Skin,1.123,,
Palafin,2023-11,Zero to Hero,100.000,,,,
Palkia-Origin,2023-11,Pressure,100.000,Telepathy,0.000,,
Arceus-Fire,2023-11,Multitype,100.000,,,,
Dialga,2023-11,Pressure,100.000,Telepathy,0.000,,
Arceus-Poison,2023-11,Multitype,100.000,,,,
Landorus,2023-11,Sheer Force,93.588,Sand Force,6.412,,
Chi-Yu,2023-11,Beads of Ruin,100.000,,,,
Rillaboom,2023-11,Grassy Surge,99.904,Overgrow,0.096,,
Sneasler,2023-11,Unburden,92.014,Poison Touch,7.755,Pressure,0.231
Espathra,2023-11,Speed Boost,99.319,Opportunist,0.681,,
Gholdengo,2023-11,Good as Gold,100.000,,,,
Volcarona,2023-11,Flame Body,98.283,Swarm,1.717,,
Spectrier,2023-11,Grim Neigh,100.000,,,,
Roaring Moon,2023-11,Protosynthesis,100.000,,,,
Dragapult,2023-11,Infiltrator,64.451,Clear Body,22.911,Cursed Body,12.638
Zamazenta-Crowned,2023-11,Dauntless Shield,100.000,,,,
Ursaluna-Bloodmoon,2023-11,Mind's Eye,100.000,,,,
Arceus-Grass,2023-11,Multitype,100.000,,,,
Baxcalibur,2023-11,Thermal Exchange,88.378,Ice Body,11.622,,
Garchomp,2023-11,Rough Skin,94.121,Sand Veil,5.879,,
Clefable,2023-11,Unaware,95.358,Magic Guard,4.556,Cute Charm,0.086
Houndstone,2023-11,Sand Rush,50.393,Fluffy,49.607,,
Ninetales-Alola,2023-11,Snow Warning,99.481,Snow Cloak,0.519,,
Arceus-Dark,2023-11,Multitype,100.000,,,,
Urshifu-Rapid-Strike,2023-11,Unseen Fist,100.000,,,,
Urshifu,2023-11,Unseen Fist,100.000,,,,
Ursaluna,2023-11,Guts,93.626,Bulletproof,6.374,,
Dragonite,2023-11,Multiscale,98.191,Inner Focus,1.809,,
Pelipper,2023-11,Drizzle,99.453,Keen Eye,0.534,Rain Dish,0.012
Arceus-Dragon,2023-11,Multitype,100.000,,,,
Slowking-Galar,2023-11,Regenerator,98.664,Curious Medicine,1.336,,
Cinderace,2023-11,Libero,74.783,Blaze,25.217,,
Meowscarada,2023-11,Overgrow,79.417,Protean,20.583,,
Garganacl,2023-11,Purifying Salt,99.305,Sturdy,0.695,Clear Body,0.000
Palkia,2023-11,Pressure,99.675,Telepathy,0.325,,
Torkoal,2023-11,Drought,99.645,White Smoke,0.226,Shell Armor,0.129
Mandibuzz,2023-11,Overcoat,94.208,Big Pecks,5.772,Weak Armor,0.020
Amoonguss,2023-11,Regenerator,99.559,Effect Spore,0.441,,
Dialga-Origin,2023-11,Pressure,99.998,Telepathy,0.002,,
Walking Wake,2023-11,Protosynthesis,100.000,,,,
Blissey,2023-11,Natural Cure,99.520,Serene Grace,0.480,Healer,0.000
Ogerpon-Wellspring,2023-11,Water Absorb,100.000,,,,
Quagsire,2023-11,Unaware,96.380,Water Absorb,3.598,Damp,0.022
Masquerain,2023-11,Intimidate,100.000,,,,
Arceus-Fighting,2023-11,Multitype,100.000,,,,
Arceus-Psychic,2023-11,Multitype,100.000,,,,
Ceruledge,2023-11,Flash Fire,58.469,Weak Armor,41.531,,
Iron Valiant,2023-11,Quark Drive,100.000,,,,
Darkrai,2023-11,Bad Dreams,100.000,,,,
Alomomola,2023-11,Regenerator,99.862,Healer,0.138,,
Donphan,2023-11,Sturdy,100.000,Sand Veil,0.000,,
Hippowdon,2023-11,Sand Stream,99.969,Sand Force,0.031,,
Samurott-Hisui,2023-11,Sharpness,99.182,Torrent,0.818,,
Tyranitar,2023-11,Sand Stream,100.000,,,,
Scizor,2023-11,Technician,84.837,Swarm,15.163,,
Cresselia,2023-11,Levitate,100.000,,,,
Zamazenta,2023-11,Dauntless Shield,100.000,,,,
Moltres,2023-11,Flame Body,94.945,Pressure,5.055,,
Crocalor,2023-11,Unaware,99.669,Blaze,0.331,,
Iron Moth,2023-11,Quark Drive,100.000,,,,
Orthworm,2023-11,Earth Eater,99.979,Sand Veil,0.021,,
Hoopa-Unbound,2023-11,Magician,100.000,,,,
Heatran,2023-11,Flash Fire,88.621,Flame Body,11.379,,
Arceus-Ice,2023-11,Multitype,100.000,,,,
Weezing-Galar,2023-11,Levitate,43.521,Neutralizing Gas,35.990,Misty Surge,20.489
Leavanny,2023-11,Overcoat,60.447,Swarm,28.035,Chlorophyll,11.518
