name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Flutter Mane,2022-11,Booster Energy,26.088,Life Orb,23.441,Focus Sash,21.792,Choice Specs,17.825,Choice Scarf,5.741,Safety Goggles,1.101,Other,4.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torkoal,2022-11,Charcoal,52.642,Heat Rock,18.667,Choice Specs,6.395,Sitrus Berry,5.813,Eject Button,5.332,Leftovers,2.143,Covert Cloak,2.130,Safety Goggles,1.584,Heavy-Duty Boots,1.263,Other,4.032,,,,,,,,,,,,,,,,,,,,,,
Roaring Moon,2022-11,Booster Energy,44.349,Life Orb,11.454,Choice Band,11.408,Lum Berry,5.388,Safety Goggles,5.384,Focus Sash,4.935,Covert Cloak,3.021,Clear Amulet,2.893,Sitrus Berry,2.627,Iapapa Berry,1.722,Leftovers,1.059,Assault Vest,0.996,Other,4.764,,,,,,,,,,,,,,,,
Chi-Yu,2022-11,Life Orb,30.892,Choice Scarf,25.046,Choice Specs,13.322,Safety Goggles,6.144,Charcoal,5.709,Focus Sash,4.813,Passho Berry,2.758,Sitrus Berry,2.450,Leftovers,1.822,Assault Vest,1.682,Wise Glasses,1.345,Other,4.017,,,,,,,,,,,,,,,,,,
Amoonguss,2022-11,Sitrus Berry,31.738,Black Sludge,14.934,Rocky Helmet,11.954,Occa Berry,8.820,Mental Herb,7.146,Room Service,6.721,Focus Sash,3.283,Coba Berry,2.671,Aguav Berry,2.508,Figy Berry,1.925,Covert Cloak,1.850,Nothing,1.618,Other,4.832,,,,,,,,,,,,,,,,
Grimmsnarl,2022-11,Light Clay,60.605,Roseli Berry,5.611,Lagging Tail,4.958,Covert Cloak,4.682,Sitrus Berry,4.022,Babiri Berry,2.664,Pixie Plate,2.386,Safety Goggles,2.119,Expert Belt,2.037,Figy Berry,1.606,Mental Herb,1.606,Rocky Helmet,1.437,Black Glasses,1.111,Leftovers,1.056,Other,4.098,,,,,,,,,,,,
Iron Hands,2022-11,Assault Vest,57.956,Booster Energy,32.678,Life Orb,1.994,Leftovers,1.981,Sitrus Berry,1.261,Other,4.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatsugiri,2022-11,Toxic Orb,18.086,Black Sludge,18.040,Choice Scarf,11.873,Focus Sash,10.244,Sitrus Berry,9.893,Leftovers,9.249,Choice Specs,4.656,Nothing,3.627,Assault Vest,3.381,Weakness Policy,2.161,Life Orb,1.980,Mirror Herb,1.154,Aguav Berry,1.055,Other,4.601,,,,,,,,,,,,,,
Arcanine,2022-11,Sitrus Berry,37.999,Safety Goggles,11.239,Assault Vest,10.010,Aguav Berry,8.878,Leftovers,6.441,Figy Berry,5.969,Mago Berry,5.911,Heavy-Duty Boots,4.802,Wiki Berry,1.948,Shuca Berry,1.190,Focus Sash,0.999,Other,4.615,,,,,,,,,,,,,,,,,,
Chien-Pao,2022-11,Focus Sash,46.166,Life Orb,25.143,Choice Band,13.581,Assault Vest,4.622,Chople Berry,3.883,Sitrus Berry,1.849,Other,4.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
