name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Haxorus,2023-01,Lum Berry,39.128,Life Orb,18.645,Choice Band,18.088,Leftovers,9.945,Choice Scarf,5.660,Focus Sash,1.878,Heavy-Duty Boots,1.735,Other,4.921,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycanroc-Dusk,2023-01,Life Orb,39.940,Focus Sash,32.237,Choice Band,25.022,Other,2.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espeon,2023-01,Leftovers,29.668,Choice Specs,29.470,Choice Scarf,9.397,Life Orb,8.748,Light Clay,7.856,Focus Sash,4.850,Eject Button,3.891,Twisted Spoon,3.157,Other,2.962,,,,,,,,,,,,,,,,,,,,,,,,
Slowbro,2023-01,Rocky Helmet,37.304,Leftovers,21.497,Heavy-Duty Boots,13.776,Assault Vest,9.264,Eject Button,6.375,Life Orb,5.924,Choice Specs,2.417,Other,3.443,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnezone,2023-01,Choice Specs,44.554,Assault Vest,29.627,Leftovers,13.773,Choice Scarf,8.823,Other,3.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros-Paldea-Blaze,2023-01,Leftovers,47.230,Choice Scarf,12.760,Heavy-Duty Boots,12.631,Sitrus Berry,6.641,Liechi Berry,5.818,Life Orb,3.453,Choice Band,3.248,Rocky Helmet,2.053,Assault Vest,1.517,Other,4.649,,,,,,,,,,,,,,,,,,,,,,
Toxtricity,2023-01,Throat Spray,38.444,Choice Specs,34.337,Choice Scarf,18.493,Life Orb,5.262,Other,3.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardevoir,2023-01,Choice Scarf,81.276,Choice Specs,12.167,Leftovers,2.219,Other,4.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatsugiri,2023-01,Heavy-Duty Boots,78.256,Leftovers,6.837,Assault Vest,4.516,Choice Scarf,3.729,Life Orb,2.665,Other,3.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krookodile,2023-01,Choice Scarf,43.522,Leftovers,21.718,Life Orb,8.764,Choice Band,8.706,Focus Sash,6.626,Rocky Helmet,6.454,Other,4.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flamigo,2023-01,Choice Scarf,68.975,Choice Band,25.848,Life Orb,2.193,Other,2.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weavile,2023-01,Heavy-Duty Boots,39.951,Choice Band,34.816,Life Orb,10.569,Focus Sash,8.262,Expert Belt,3.454,Other,2.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloyster,2023-01,Focus Sash,45.959,White Herb,29.691,Heavy-Duty Boots,18.978,Life Orb,1.753,Other,3.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudsdale,2023-01,Leftovers,80.214,Rocky Helmet,13.621,Assault Vest,2.878,Other,3.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heracross,2023-01,Flame Orb,45.156,Choice Scarf,26.214,Loaded Dice,18.363,Life Orb,2.538,Heavy-Duty Boots,2.358,Mirror Herb,1.858,Other,3.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellibolt,2023-01,Leftovers,57.251,Assault Vest,21.399,Heavy-Duty Boots,10.125,Rocky Helmet,4.435,Magnet,2.160,Other,4.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altaria,2023-01,Heavy-Duty Boots,93.507,Leftovers,3.998,Other,2.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcanine,2023-01,Heavy-Duty Boots,45.922,Choice Band,44.513,Life Orb,3.389,Leftovers,2.472,Other,3.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palossand,2023-01,Leftovers,70.243,Colbur Berry,11.991,Rocky Helmet,11.514,Heavy-Duty Boots,3.410,Other,2.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sableye,2023-01,Leftovers,52.819,Light Clay,32.241,Rocky Helmet,5.248,Heavy-Duty Boots,5.038,Other,4.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primeape,2023-01,Eviolite,72.806,Choice Scarf,16.473,Focus Sash,10.216,Other,0.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom-Heat,2023-01,Heavy-Duty Boots,50.704,Choice Scarf,29.632,Leftovers,7.303,Choice Specs,7.241,Light Clay,2.948,Other,2.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abomasnow,2023-01,Icy Rock,46.636,Light Clay,37.399,Heavy-Duty Boots,9.901,Choice Specs,1.729,Other,4.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revavroom,2023-01,Leftovers,36.164,Air Balloon,24.029,Black Sludge,13.288,Choice Scarf,9.352,Life Orb,9.049,Heavy-Duty Boots,3.054,Shuca Berry,1.425,Other,3.640,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzong,2023-01,Leftovers,82.507,Light Clay,6.810,Mental Herb,6.212,Other,4.470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg,2023-01,Heavy-Duty Boots,83.632,Rocky Helmet,9.745,Leftovers,5.836,Other,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylveon,2023-01,Leftovers,67.144,Choice Specs,23.762,Assault Vest,2.783,Heavy-Duty Boots,2.383,Other,3.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mismagius,2023-01,Leftovers,44.094,Life Orb,14.143,Choice Specs,13.122,Choice Scarf,11.915,Salac Berry,6.641,Colbur Berry,5.732,Other,4.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blissey,2023-01,Heavy-Duty Boots,53.311,Leftovers,45.165,Other,1.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hariyama,2023-01,Flame Orb,46.903,Assault Vest,29.212,Sitrus Berry,14.747,Leftovers,5.409,Other,3.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arboliva,2023-01,Choice Specs,51.069,Leftovers,14.349,Assault Vest,13.409,Life Orb,7.831,Sitrus Berry,5.567,Throat Spray,2.678,Big Root,1.418,Other,3.679,,,,,,,,,,,,,,,,,,,,,,,,,,
Florges,2023-01,Leftovers,94.296,Choice Scarf,3.280,Other,2.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drednaw,2023-01,White Herb,55.658,Focus Sash,39.590,Other,4.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coalossal,2023-01,Heavy-Duty Boots,79.137,Leftovers,7.654,Rocky Helmet,5.395,Air Balloon,3.827,Other,3.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cetitan,2023-01,Sitrus Berry,56.771,Heavy-Duty Boots,26.248,Choice Band,6.462,Assault Vest,3.915,Never-Melt Ice,1.641,Other,4.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom-Mow,2023-01,Choice Scarf,79.022,Leftovers,17.805,Other,3.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dachsbun,2023-01,Leftovers,82.833,Rocky Helmet,7.479,Assault Vest,5.524,Other,4.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragalge,2023-01,Black Sludge,58.839,Choice Specs,18.521,Leftovers,10.628,Assault Vest,7.802,Other,4.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froslass,2023-01,Focus Sash,84.788,Heavy-Duty Boots,6.072,Choice Scarf,4.196,Other,4.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
