name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Tinkaton,2022-12,Leftovers,88.074,Life Orb,5.166,Assault Vest,2.669,Other,4.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydreigon,2022-12,Leftovers,30.551,Focus Sash,24.525,Choice Specs,17.695,Choice Scarf,14.422,Life Orb,7.947,Other,4.860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azumarill,2022-12,Sitrus Berry,60.365,Choice Band,23.600,Assault Vest,9.720,Aguav Berry,3.888,Other,2.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armarouge,2022-12,Charcoal,33.692,Choice Scarf,12.575,Weakness Policy,11.809,Leftovers,11.472,Focus Sash,11.371,Choice Specs,7.119,Heavy-Duty Boots,5.633,White Herb,2.797,Other,3.532,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Shocks,2022-12,Heavy-Duty Boots,24.976,Focus Sash,17.162,Leftovers,11.508,Choice Scarf,10.684,Booster Energy,9.761,Shuca Berry,6.284,Assault Vest,5.926,Choice Specs,4.950,Air Balloon,2.787,Expert Belt,2.760,Other,3.202,,,,,,,,,,,,,,,,,,,,
Slither Wing,2022-12,Choice Band,59.352,Heavy-Duty Boots,8.233,Choice Scarf,7.701,Booster Energy,6.264,Silver Powder,5.312,Life Orb,4.896,Protective Pads,3.888,Other,4.354,,,,,,,,,,,,,,,,,,,,,,,,,,
Espathra,2022-12,Leftovers,85.910,Mental Herb,5.380,Grassy Seed,1.199,Life Orb,1.126,Heavy-Duty Boots,1.057,Focus Sash,0.994,Other,4.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grafaiai,2022-12,Mirror Herb,45.039,Heavy-Duty Boots,35.955,Black Sludge,7.483,Leftovers,6.010,Weakness Policy,1.198,Other,4.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimikyu,2022-12,Life Orb,89.822,Leftovers,3.184,Red Card,2.072,Other,4.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gengar,2022-12,Choice Scarf,32.460,Choice Specs,30.990,Life Orb,14.041,Focus Sash,8.008,Leftovers,5.337,Black Sludge,4.741,Other,4.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talonflame,2022-12,Heavy-Duty Boots,99.724,Other,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatterene,2022-12,Leftovers,76.797,Assault Vest,4.624,Heavy-Duty Boots,4.225,Life Orb,3.385,Iapapa Berry,3.321,Focus Sash,1.842,Eject Button,1.810,Other,3.994,,,,,,,,,,,,,,,,,,,,,,,,,,
Donphan,2022-12,Leftovers,48.653,Rocky Helmet,26.657,Heavy-Duty Boots,17.465,Assault Vest,3.857,Other,3.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bisharp,2022-12,Eviolite,92.969,Black Glasses,4.123,Other,2.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Jugulis,2022-12,Booster Energy,57.888,Choice Specs,30.190,Heavy-Duty Boots,7.555,Other,4.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom-Wash,2022-12,Choice Scarf,43.663,Leftovers,35.094,Heavy-Duty Boots,14.830,Choice Specs,2.247,Other,4.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamence,2022-12,Heavy-Duty Boots,60.427,Choice Scarf,14.465,Lum Berry,10.996,Life Orb,6.882,Leftovers,3.417,Other,3.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quagsire,2022-12,Leftovers,70.334,Heavy-Duty Boots,27.550,Other,2.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelipper,2022-12,Damp Rock,84.876,Choice Specs,6.026,Heavy-Duty Boots,4.212,Other,4.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallade,2022-12,Choice Scarf,37.542,Life Orb,22.772,Choice Band,13.907,Assault Vest,10.313,Muscle Band,5.082,Scope Lens,2.693,Leftovers,1.596,Focus Sash,1.408,Other,4.687,,,,,,,,,,,,,,,,,,,,,,,,
Forretress,2022-12,Leftovers,55.041,Rocky Helmet,13.235,Heavy-Duty Boots,12.706,Mental Herb,9.089,Red Card,4.523,Light Clay,2.785,Other,2.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowking,2022-12,Heavy-Duty Boots,68.171,Icy Rock,14.388,Leftovers,8.595,Eject Button,1.817,Light Clay,1.798,Assault Vest,1.522,Other,3.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawmot,2022-12,Leppa Berry,25.031,Choice Scarf,17.136,Focus Sash,12.759,Punching Glove,12.680,Life Orb,12.065,Leftovers,7.365,Choice Band,6.471,Air Balloon,2.952,Other,3.540,,,,,,,,,,,,,,,,,,,,,,,,
Kilowattrel,2022-12,Choice Specs,55.396,Heavy-Duty Boots,32.456,Life Orb,9.079,Other,3.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucario,2022-12,Life Orb,77.001,Silk Scarf,9.732,Choice Band,6.740,Focus Sash,2.824,Other,3.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scream Tail,2022-12,Leftovers,79.556,Heavy-Duty Boots,5.961,Light Clay,5.201,Booster Energy,4.909,Other,4.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wo-Chien,2022-12,Leftovers,92.160,Assault Vest,5.289,Other,2.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staraptor,2022-12,Choice Scarf,72.547,Choice Band,21.910,Heavy-Duty Boots,3.783,Other,1.760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brambleghast,2022-12,Heavy-Duty Boots,53.389,Colbur Berry,12.172,Leftovers,10.312,Focus Sash,10.200,Choice Band,9.194,Other,4.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsareena,2022-12,Heavy-Duty Boots,78.539,Leftovers,9.877,Assault Vest,6.509,Lum Berry,2.875,Other,2.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawlucha,2022-12,Psychic Seed,66.175,Electric Seed,9.202,Grassy Seed,8.262,Power Herb,7.387,Flame Orb,3.438,Leftovers,2.911,Other,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastrodon,2022-12,Leftovers,83.809,Rocky Helmet,9.521,Heavy-Duty Boots,5.193,Other,1.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippowdon,2022-12,Leftovers,71.305,Rocky Helmet,26.372,Other,2.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floatzel,2022-12,Choice Band,95.552,Other,4.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toedscruel,2022-12,Leftovers,76.503,Heavy-Duty Boots,15.958,Rocky Helmet,2.723,Other,4.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,2022-12,Heavy-Duty Boots,62.645,Leftovers,20.018,Lum Berry,7.517,Life Orb,3.333,Sitrus Berry,1.821,Other,4.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros-Paldea-Water,2022-12,Choice Band,59.753,Sitrus Berry,12.911,Life Orb,8.898,Leftovers,7.093,Assault Vest,5.356,Choice Scarf,2.954,Other,3.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polteageist,2022-12,Focus Sash,77.407,White Herb,21.463,Other,1.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alomomola,2022-12,Heavy-Duty Boots,45.014,Rocky Helmet,36.524,Leftovers,18.461,Other,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Thorns,2022-12,Booster Energy,39.768,Loaded Dice,20.590,Air Balloon,11.680,Leftovers,8.819,Choice Band,4.723,Lum Berry,3.893,Punching Glove,2.784,Mental Herb,2.316,Assault Vest,2.129,Other,3.299,,,,,,,,,,,,,,,,,,,,,,
Brute Bonnet,2022-12,Booster Energy,32.716,Lum Berry,28.047,Leftovers,20.725,Loaded Dice,7.894,Assault Vest,4.320,Sitrus Berry,1.619,Other,4.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noivern,2022-12,Choice Specs,62.037,Heavy-Duty Boots,31.095,Choice Scarf,3.314,Other,3.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeedee,2022-12,Terrain Extender,92.347,Choice Scarf,6.574,Other,1.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klefki,2022-12,Light Clay,74.701,Toxic Orb,7.457,Damp Rock,6.417,Leftovers,5.537,Choice Specs,4.879,Other,1.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barraskewda,2022-12,Choice Band,81.363,Life Orb,13.822,Other,4.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blissey,2022-12,Heavy-Duty Boots,53.883,Leftovers,45.492,Other,0.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatsugiri,2022-12,Heavy-Duty Boots,55.345,White Herb,15.847,Leftovers,10.602,Life Orb,5.024,Assault Vest,4.567,Choice Specs,2.103,Focus Sash,1.749,Other,4.762,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloyster,2022-12,Focus Sash,51.303,White Herb,32.653,Heavy-Duty Boots,10.703,Loaded Dice,2.499,Other,2.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primeape,2022-12,Eviolite,99.336,Other,0.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros-Paldea-Fire,2022-12,Leftovers,52.840,Heavy-Duty Boots,27.365,Chesto Berry,7.126,Choice Band,2.794,Choice Scarf,2.751,Salac Berry,2.569,Other,4.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnezone,2022-12,Leftovers,36.992,Choice Specs,21.707,Choice Scarf,17.467,Assault Vest,16.415,Air Balloon,6.277,Other,1.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revavroom,2022-12,Leftovers,30.045,Air Balloon,24.118,Life Orb,23.229,Black Sludge,5.864,Choice Scarf,5.393,Expert Belt,2.869,Metal Coat,2.269,Covert Cloak,1.513,Other,4.700,,,,,,,,,,,,,,,,,,,,,,,,
Bellibolt,2022-12,Leftovers,47.957,Assault Vest,18.121,Heavy-Duty Boots,12.708,Life Orb,6.127,Light Clay,4.630,Magnet,4.012,Rocky Helmet,2.754,Other,3.690,,,,,,,,,,,,,,,,,,,,,,,,,,
