name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Quaxwell,2023-03,Eviolite,98.014,Other,1.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magneton,2023-03,Eviolite,68.458,Choice Specs,14.438,Choice Scarf,13.728,Other,3.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skuntank,2023-03,Leftovers,39.803,Black Sludge,24.950,Rocky Helmet,13.849,Life Orb,5.361,Black Glasses,4.332,Lum Berry,2.044,Choice Scarf,1.922,Heavy-Duty Boots,1.892,Choice Band,1.531,Other,4.316,,,,,,,,,,,,,,,,,,,,,,
Houndoom,2023-03,Heavy-Duty Boots,35.872,Choice Specs,18.855,Assault Vest,14.000,Choice Scarf,12.952,Life Orb,12.217,Focus Sash,2.049,Other,4.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabite,2023-03,Eviolite,98.500,Other,1.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycanroc-Midnight,2023-03,Choice Scarf,62.676,Focus Sash,12.881,Choice Band,7.782,Life Orb,5.705,Loaded Dice,2.313,Assault Vest,2.028,Leftovers,1.519,Lum Berry,1.466,Other,3.630,,,,,,,,,,,,,,,,,,,,,,,,
Perrserker,2023-03,Leftovers,44.070,Choice Band,16.343,Assault Vest,13.849,Life Orb,9.192,Rocky Helmet,5.447,Choice Scarf,2.948,Focus Sash,1.624,Heavy-Duty Boots,1.386,Damp Rock,1.370,Other,3.773,,,,,,,,,,,,,,,,,,,,,,
Crabominable,2023-03,Assault Vest,46.069,Leftovers,23.427,Life Orb,11.016,Choice Band,7.741,Punching Glove,2.768,Heavy-Duty Boots,2.526,Blunder Policy,1.808,Other,4.644,,,,,,,,,,,,,,,,,,,,,,,,,,
Misdreavus,2023-03,Eviolite,99.626,Other,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haunter,2023-03,Choice Scarf,35.749,Choice Specs,21.351,Life Orb,12.319,Eviolite,10.360,Leftovers,9.258,Black Sludge,5.707,Focus Sash,4.427,Other,0.828,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyroar,2023-03,Choice Specs,39.764,Heavy-Duty Boots,35.592,Life Orb,7.644,Choice Scarf,7.070,Throat Spray,3.610,Heat Rock,1.950,Other,4.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugtrio,2023-03,Focus Sash,62.166,Life Orb,21.602,Choice Band,7.289,Leftovers,2.647,Choice Scarf,1.785,Other,4.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacturne,2023-03,Focus Sash,41.208,Life Orb,32.394,Black Glasses,10.998,Leftovers,6.535,Loaded Dice,2.274,Heavy-Duty Boots,2.263,Other,4.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camerupt,2023-03,Leftovers,70.611,Choice Specs,8.530,Assault Vest,5.627,Heavy-Duty Boots,3.585,Damp Rock,3.273,Charcoal,1.511,Life Orb,1.482,Expert Belt,1.392,Other,3.988,,,,,,,,,,,,,,,,,,,,,,,,
Squawkabilly,2023-03,Flame Orb,72.579,Choice Scarf,17.737,Choice Band,6.466,Other,3.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon,2023-03,Heavy-Duty Boots,64.766,Focus Sash,19.467,Leftovers,10.058,Sharp Beak,3.285,Other,2.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oricorio-Pa'u,2023-03,Heavy-Duty Boots,81.443,Mirror Herb,6.588,Leftovers,6.005,Safety Goggles,1.868,Other,4.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falinks,2023-03,Leftovers,28.602,Lum Berry,16.784,Life Orb,13.902,Choice Band,10.089,Heavy-Duty Boots,5.499,Choice Scarf,5.205,Safety Goggles,4.416,Focus Sash,3.208,Black Belt,2.302,Expert Belt,1.866,Shed Shell,1.716,Sitrus Berry,1.416,Other,4.994,,,,,,,,,,,,,,,,
Gogoat,2023-03,Leftovers,84.361,Heavy-Duty Boots,5.801,Assault Vest,3.742,Life Orb,2.427,Other,3.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu,2023-03,Choice Specs,24.183,Choice Scarf,22.795,Life Orb,19.029,Heavy-Duty Boots,17.828,Focus Sash,5.166,Expert Belt,2.854,Leftovers,1.654,Air Balloon,1.455,Assault Vest,1.454,Other,3.582,,,,,,,,,,,,,,,,,,,,,,
Hattrem,2023-03,Eviolite,91.340,Focus Sash,5.226,Other,3.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom-Frost,2023-03,Choice Scarf,49.584,Heavy-Duty Boots,40.879,Leftovers,4.339,Choice Specs,2.975,Other,2.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilligant,2023-03,Leftovers,56.175,Life Orb,10.397,Heavy-Duty Boots,9.544,Mirror Herb,5.155,Focus Sash,4.871,Choice Specs,2.373,Choice Scarf,1.828,Wide Lens,1.757,Miracle Seed,1.677,Red Card,0.996,Iapapa Berry,0.738,Other,4.488,,,,,,,,,,,,,,,,,,
Tinkatuff,2023-03,Eviolite,99.523,Other,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom-Fan,2023-03,Leftovers,46.353,Heavy-Duty Boots,34.715,Choice Scarf,15.067,Other,3.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeedee-F,2023-03,Choice Scarf,48.027,Choice Specs,21.539,Terrain Extender,7.642,Focus Sash,5.352,Psychic Seed,5.146,Leftovers,2.446,Life Orb,2.399,Sitrus Berry,2.386,Colbur Berry,1.522,Other,3.541,,,,,,,,,,,,,,,,,,,,,,
Carkol,2023-03,Eviolite,90.296,Heavy-Duty Boots,9.054,Other,0.650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glimmet,2023-03,Focus Sash,80.402,Eviolite,17.800,Other,1.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frogadier,2023-03,Eviolite,48.908,Focus Sash,21.953,Choice Scarf,11.151,Heavy-Duty Boots,6.715,Choice Specs,6.221,Life Orb,4.643,Other,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
