name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Dragonite,2022-12,Gardevoir,39.371,Annihilape,36.196,Quaquaval,31.402,Krookodile,23.813,Ampharos,23.271,Toxicroak,23.271,Meowscarada,21.107,Iron Jugulis,19.937,Scizor,15.963,Iron Valiant,15.425,Hawlucha,15.090,,
Annihilape,2022-12,Dragonite,46.912,Meowscarada,31.054,Houndstone,20.001,Cyclizar,18.753,Pawmot,18.496,Scizor,18.403,Vaporeon,18.400,Mimikyu,18.083,Hippowdon,18.083,Salamence,14.484,Orthworm,13.365,,
Gardevoir,2022-12,Dragonite,57.396,Krookodile,34.900,Ampharos,33.926,Quaquaval,33.925,Toxicroak,33.925,Iron Jugulis,22.973,Iron Valiant,21.998,Pincurchin,21.998,Hawlucha,21.998,Oranguru,20.657,Grafaiai,15.716,,
Meowscarada,2022-12,Annihilape,35.982,Sylveon,32.939,Dragonite,31.697,Ceruledge,28.882,Vivillon,28.793,Corviknight,28.793,Scizor,23.064,Vaporeon,21.320,Pawmot,21.320,Forretress,18.787,Skeledirge,16.651,,
Iron Jugulis,2022-12,Pincurchin,72.444,Iron Valiant,63.994,Iron Thorns,58.828,Iron Treads,38.920,Sableye,36.630,Dragonite,34.981,Gardevoir,27.649,Hawlucha,26.477,Goodra,12.721,Slowking,12.721,Cetitan,12.721,,
Iron Valiant,2022-12,Pincurchin,71.179,Iron Jugulis,64.073,Iron Thorns,44.715,Sableye,38.066,Iron Treads,35.027,Dragonite,27.098,Hawlucha,26.548,Gardevoir,26.510,Slaking,10.053,Hariyama,8.288,Vivillon,7.745,,
Pincurchin,2022-12,Iron Jugulis,83.668,Iron Valiant,82.105,Iron Thorns,61.340,Sableye,42.237,Iron Treads,41.479,Hawlucha,30.623,Dragonite,30.579,Gardevoir,30.579,Florges,9.466,Breloom,9.466,Weavile,9.466,,
Volcarona,2022-12,Oricorio-Pom-Pom,41.874,Bisharp,21.219,Dragonite,19.672,Quaquaval,18.919,Frosmoth,16.997,Azumarill,16.926,Slaking,16.672,Medicham,15.382,Toxtricity,13.282,Gothitelle,13.109,Mimikyu,12.835,,
Sableye,2022-12,Iron Valiant,48.641,Iron Jugulis,46.864,Pincurchin,46.789,Iron Thorns,46.789,Iron Treads,44.242,Clawitzer,22.180,Skeledirge,21.424,Slither Wing,20.439,Coalossal,20.327,Scovillain,20.327,Oranguru,11.730,,
Quaquaval,2022-12,Dragonite,64.308,Ampharos,47.657,Gardevoir,47.657,Krookodile,47.657,Toxicroak,47.657,Volcarona,19.644,Frosmoth,17.647,Oricorio-Pom-Pom,11.455,Vivillon,11.199,Jolteon,10.163,Oricorio-Sensu,9.273,,
Iron Thorns,2022-12,Iron Jugulis,78.155,Pincurchin,70.560,Iron Valiant,59.331,Sableye,48.585,Iron Treads,47.092,Cetitan,22.145,Goodra,16.993,Slowking,16.903,Florges,10.982,Breloom,10.889,Weavile,10.889,,
Ceruledge,2022-12,Sylveon,48.656,Corviknight,46.419,Meowscarada,45.339,Vivillon,45.200,Forretress,29.493,Orthworm,21.934,Salamence,21.455,Annihilape,21.275,Scream Tail,21.099,Lucario,21.099,Gallade,20.266,,
Skeledirge,2022-12,Meowscarada,34.582,Clawitzer,31.025,Annihilape,30.328,Sableye,29.766,Hydreigon,28.577,Scovillain,28.242,Coalossal,28.242,Slither Wing,28.242,Venonat,19.542,Clodsire,17.412,Hariyama,16.913,,
Vivillon,2022-12,Meowscarada,49.994,Sylveon,49.994,Ceruledge,49.994,Corviknight,49.994,Forretress,32.621,Gallade,19.524,Quaquaval,14.259,Iron Valiant,11.495,Oricorio-Sensu,10.210,Volcarona,9.663,Frosmoth,9.663,,
Grafaiai,2022-12,Pachirisu,38.363,Bellibolt,34.105,Oranguru,34.105,Gardevoir,34.105,Slaking,33.737,Hydreigon,20.495,Tauros-Paldea-Fire,16.644,Raichu,15.594,Sableye,14.902,Annihilape,14.875,Salamence,11.937,,
Sylveon,2022-12,Meowscarada,70.652,Ceruledge,66.481,Vivillon,61.759,Corviknight,61.759,Forretress,40.297,Gallade,26.098,Volcarona,13.454,Toxtricity,8.817,Oranguru,8.817,Noivern,8.817,Dragonite,7.430,,
Ampharos,2022-12,Gardevoir,84.407,Quaquaval,84.406,Toxicroak,84.406,Dragonite,84.406,Krookodile,84.406,Gallade,6.407,Altaria,6.407,Mismagius,6.407,Whiscash,6.407,Slither Wing,6.407,Camerupt,1.106,,
Oranguru,2022-12,Gardevoir,51.270,Pachirisu,39.328,Grafaiai,39.006,Bellibolt,39.006,Spiritomb,26.309,Hariyama,23.805,Sableye,18.907,Raichu,17.835,Arboliva,17.774,Copperajah,17.412,Clawitzer,17.412,,
Krookodile,2022-12,Gardevoir,90.751,Dragonite,90.273,Quaquaval,88.218,Ampharos,88.218,Toxicroak,88.218,Florges,2.533,Brambleghast,2.533,Iron Jugulis,2.533,Corviknight,2.533,Cacturne,2.055,Annihilape,2.055,,
Iron Treads,2022-12,Iron Jugulis,89.333,Pincurchin,82.436,Iron Thorns,81.362,Iron Valiant,80.298,Sableye,79.373,Rotom-Mow,7.206,Gengar,7.206,Zoroark,7.206,Azumarill,7.206,Pelipper,6.063,Toedscruel,4.707,,
Toxicroak,2022-12,Quaquaval,91.635,Krookodile,91.635,Ampharos,91.635,Gardevoir,91.635,Dragonite,91.635,Rabsca,0.642,Oranguru,0.642,Dudunsparce,0.642,Slowking,0.640,Rotom-Frost,0.640,Pelipper,0.587,,
Mimikyu,2022-12,Houndstone,61.949,Hippowdon,61.947,Annihilape,61.947,Dragonite,61.947,Cyclizar,61.947,Volcarona,28.892,Wo-Chien,26.431,Bisharp,24.929,Tauros-Paldea-Water,24.929,Oricorio-Pom-Pom,24.929,Grafaiai,7.656,,
Corviknight,2022-12,Ceruledge,77.754,Vivillon,75.713,Meowscarada,75.713,Sylveon,75.713,Forretress,49.402,Gallade,26.310,Grafaiai,3.882,Espathra,3.882,Tauros-Paldea,3.882,Cetitan,3.882,Zoroark,3.882,,
Oricorio-Pom-Pom,2022-12,Volcarona,97.100,Azumarill,39.248,Slaking,35.668,Medicham,35.668,Gothitelle,30.398,Dragonite,27.053,Wo-Chien,25.683,Tauros-Paldea-Water,25.683,Mimikyu,25.680,Bisharp,25.680,Quaquaval,25.583,,
Hariyama,2022-12,Meowscarada,30.197,Oranguru,25.496,Spiritomb,21.479,Skeledirge,21.014,Hydreigon,19.121,Copperajah,18.648,Arboliva,18.648,Clawitzer,18.648,Iron Valiant,18.283,Jumpluff,18.263,Venonat,18.263,,
Slaking,2022-12,Grafaiai,47.056,Medicham,41.177,Volcarona,37.300,Oricorio-Pom-Pom,34.412,Azumarill,34.412,Gothitelle,29.327,Iron Valiant,25.250,Hydreigon,23.101,Tauros-Paldea-Fire,22.796,Annihilape,20.806,Dragonite,15.186,,
Gallade,2022-12,Ceruledge,33.312,Sylveon,31.396,Vivillon,29.016,Meowscarada,25.819,Corviknight,25.818,Dudunsparce,22.562,Weavile,16.876,Mudsdale,16.853,Luxray,16.853,Snover,16.853,Volcarona,12.810,,
Hawlucha,2022-12,Iron Valiant,70.410,Pincurchin,70.410,Iron Jugulis,70.308,Dragonite,70.308,Gardevoir,70.308,Honchkrow,18.278,Oinkologne,18.202,Annihilape,18.202,Dugtrio,18.202,Bombirdier,18.202,,,,
Cyclizar,2022-12,Houndstone,76.597,Annihilape,75.611,Dragonite,75.557,Mimikyu,72.909,Hippowdon,72.909,Volcarona,10.253,Iron Thorns,9.222,Iron Valiant,8.780,Bombirdier,7.686,Gallade,7.644,Gastrodon,7.606,,
Dudunsparce,2022-12,Annihilape,43.807,Clodsire,34.264,Gallade,31.053,Jolteon,29.443,Weavile,23.275,Mudsdale,23.196,Luxray,23.196,Snover,23.196,Gardevoir,21.313,Spiritomb,20.972,Arboliva,15.396,,
Orthworm,2022-12,Annihilape,48.263,Salamence,44.297,Ceruledge,43.546,Scream Tail,41.889,Lucario,41.889,Slowking,17.821,Goodra,14.749,Iron Jugulis,14.749,Iron Thorns,14.749,Cetitan,14.749,Breloom,12.858,,
Salamence,2022-12,Annihilape,55.990,Orthworm,47.419,Ceruledge,45.599,Scream Tail,44.842,Lucario,44.842,Volcarona,20.503,Grafaiai,18.905,Arboliva,13.910,Dudunsparce,12.705,Pelipper,11.825,Oricorio-Sensu,11.788,,
Clawitzer,2022-12,Coalossal,59.181,Skeledirge,55.547,Sableye,55.173,Scovillain,50.566,Slither Wing,50.566,Spiritomb,26.871,Oranguru,26.871,Hariyama,26.871,Copperajah,26.871,Arboliva,26.871,Volcarona,7.912,,
Houndstone,2022-12,Annihilape,89.187,Hippowdon,87.054,Cyclizar,84.714,Mimikyu,80.639,Dragonite,80.636,Iron Thorns,9.341,Volcarona,8.551,Arboliva,8.551,Oricorio-Pom-Pom,8.551,Lycanroc-Dusk,6.418,Lucario,5.629,,
Hippowdon,2022-12,Houndstone,87.675,Mimikyu,81.211,Annihilape,81.211,Dragonite,81.211,Cyclizar,81.211,Orthworm,9.603,Cacturne,7.543,Lycanroc-Dusk,6.464,Gardevoir,5.669,Lucario,5.669,Mabosstiff,5.669,,
Scizor,2022-12,Dragonite,85.478,Meowscarada,82.237,Annihilape,76.032,Vaporeon,76.019,Pawmot,76.019,Slowbro,6.218,Hariyama,6.218,Camerupt,6.218,Breloom,3.240,Noivern,2.478,Espeon,2.478,,
Azumarill,2022-12,Volcarona,48.231,Oricorio-Pom-Pom,48.231,Slaking,43.832,Medicham,43.832,Gothitelle,37.355,Rotom-Mow,21.631,Pelipper,14.796,Barraskewda,14.312,Bellibolt,14.312,Coalossal,14.312,Tauros-Paldea,14.312,,
Pawmot,2022-12,Annihilape,81.315,Meowscarada,80.895,Scizor,80.895,Dragonite,80.895,Vaporeon,80.895,Jumpluff,7.234,Eelektross,7.082,Grafaiai,7.082,Mudsdale,7.082,Hydreigon,7.082,Naclstack,1.434,,
Pachirisu,2022-12,Grafaiai,65.311,Oranguru,58.541,Gardevoir,58.062,Bellibolt,58.062,Raichu,26.548,Sableye,25.458,Annihilape,10.120,Slaking,7.249,Toedscruel,6.295,Tauros-Paldea-Water,6.295,Froslass,6.295,,
Hydreigon,2022-12,Skeledirge,60.175,Meowscarada,44.088,Grafaiai,42.545,Venonat,41.150,Jumpluff,39.115,Slaking,34.382,Hariyama,32.404,Annihilape,24.250,Iron Valiant,16.378,Mimikyu,11.325,Tauros-Paldea-Fire,11.325,,
Coalossal,2022-12,Clawitzer,64.712,Scovillain,55.368,Slither Wing,55.368,Sableye,55.292,Skeledirge,55.292,Pelipper,21.968,Bellibolt,15.978,Barraskewda,15.548,Tauros-Paldea,15.548,Azumarill,15.548,Volcarona,8.759,,
Arboliva,2022-12,Spiritomb,30.804,Oranguru,26.370,Volcarona,26.061,Copperajah,25.836,Hariyama,25.833,Clawitzer,25.833,Annihilape,23.836,Clodsire,19.120,Jolteon,15.764,Gardevoir,15.497,Dudunsparce,15.497,,
Vaporeon,2022-12,Meowscarada,88.990,Annihilape,88.990,Dragonite,88.990,Scizor,88.990,Pawmot,88.990,,,,,,,,,,,,,,
Bellibolt,2022-12,Grafaiai,55.337,Oranguru,55.337,Pachirisu,55.337,Gardevoir,55.337,Raichu,25.302,Sableye,24.180,Coalossal,13.432,Barraskewda,13.071,Pelipper,13.071,Tauros-Paldea,13.071,Azumarill,13.071,,
Clodsire,2022-12,Dudunsparce,45.909,Annihilape,44.025,Gardevoir,42.609,Skeledirge,39.893,Arboliva,25.451,Klefki,23.932,Meowscarada,22.320,Jolteon,20.629,Oranguru,18.208,Spiritomb,17.572,Ursaring,17.572,,
Slither Wing,2022-12,Sableye,71.809,Scovillain,71.515,Coalossal,71.515,Skeledirge,71.417,Clawitzer,71.417,Altaria,13.930,Ampharos,13.930,Mismagius,13.930,Whiscash,13.930,Gallade,13.930,Sylveon,13.650,,
Forretress,2022-12,Vivillon,99.874,Meowscarada,99.874,Sylveon,99.874,Ceruledge,99.874,Corviknight,99.874,,,,,,,,,,,,,,
Cetitan,2022-12,Iron Thorns,66.259,Slowking,53.891,Goodra,50.567,Iron Jugulis,50.567,Orthworm,21.977,Dragonite,20.226,Iron Valiant,18.028,Ceruledge,16.687,Glaceon,15.692,Pincurchin,15.692,Meowscarada,14.243,,
Tauros-Paldea-Water,2022-12,Wo-Chien,34.553,Oricorio-Pom-Pom,34.553,Volcarona,34.548,Mimikyu,34.548,Bisharp,34.548,Sandy Shocks,29.242,Iron Valiant,22.049,Vivillon,22.049,Hariyama,22.049,Tsareena,22.049,Froslass,16.011,,
Lucario,2022-12,Annihilape,76.789,Scream Tail,67.343,Salamence,67.343,Ceruledge,67.343,Orthworm,67.343,Cacturne,9.440,Mudsdale,9.440,Froslass,9.440,Tauros-Paldea-Water,7.896,Gardevoir,7.328,Houndstone,7.328,,
Breloom,2022-12,Florges,42.427,Weavile,42.023,Iron Jugulis,41.172,Pincurchin,41.172,Iron Thorns,41.172,Dragonite,26.909,Orthworm,24.212,Cloyster,19.535,Toxapex,16.414,Sylveon,16.081,Haxorus,15.874,,
Bisharp,2022-12,Volcarona,95.769,Mimikyu,49.981,Wo-Chien,49.981,Tauros-Paldea-Water,49.981,Oricorio-Pom-Pom,49.981,Annihilape,42.131,Meowscarada,26.647,Dragonite,26.647,Braviary,26.647,Ditto,15.484,Toxapex,15.484,,
Pelipper,2022-12,Barraskewda,31.081,Beartic,29.530,Drednaw,29.497,Coalossal,26.895,Gengar,23.983,Floatzel,20.812,Azumarill,19.679,Bellibolt,19.035,Tauros-Paldea,19.035,Salamence,17.644,Clodsire,17.209,,
Goodra,2022-12,Iron Thorns,62.463,Iron Jugulis,62.121,Slowking,62.121,Cetitan,62.121,Orthworm,26.999,Annihilape,20.304,Eelektross,20.299,Klefki,20.299,Dudunsparce,20.299,Dugtrio,20.299,Dragonite,18.261,,
Weavile,2022-12,Breloom,43.448,Pincurchin,42.568,Florges,42.568,Iron Jugulis,42.568,Iron Thorns,42.568,Dudunsparce,39.766,Gallade,39.685,Mudsdale,39.632,Snover,39.632,Luxray,39.632,Dragonite,8.848,,
Slowking,2022-12,Cetitan,54.535,Iron Thorns,51.178,Goodra,51.171,Iron Jugulis,51.171,Orthworm,26.873,Meowscarada,23.456,Dragonite,14.536,Beartic,9.165,Perrserker,9.061,Hariyama,9.061,Gengar,9.061,,
Spiritomb,2022-12,Oranguru,62.983,Arboliva,49.703,Hariyama,48.011,Copperajah,41.683,Clawitzer,41.683,Dudunsparce,34.061,Skeledirge,25.158,Clodsire,21.300,Ursaring,21.300,Jolteon,12.760,Annihilape,12.760,,
