Pokemon,Usage,Snapshot
Miraidon,73.60918,2022-11
Koraidon,67.05341,2022-11
Flutter Mane,52.56859,2022-11
Great Tusk,29.22023,2022-11
Iron Treads,25.81529,2022-11
Chien-Pao,23.1638,2022-11
Iron Bundle,23.05455,2022-11
Corviknight,17.86768,2022-11
Clodsire,15.97663,2022-11
Roaring Moon,13.67943,2022-11
Ting-Lu,13.64285,2022-11
Skeledirge,12.96408,2022-11
Iron Valiant,12.70468,2022-11
Ditto,10.74483,2022-11
Palafin,10.45289,2022-11
Grimmsnarl,9.48578,2022-11
Blissey,9.07185,2022-11
Scream Tail,9.00739,2022-11
Toxapex,8.6923,2022-11
Chi-Yu,8.22578,2022-11
Cyclizar,8.06889,2022-11
Iron Moth,7.89811,2022-11
Ceruledge,7.70435,2022-11
Glimmora,7.43125,2022-11
Houndstone,7.13601,2022-11
Gholdengo,6.36472,2022-11
Kingambit,5.96222,2022-11
Iron Hands,5.0872,2022-11
Dugtrio,4.64173,2022-11
Alomomola,4.37259,2022-11
Dragapult,4.32003,2022-11
Garganacl,3.60025,2022-11
Masquerain,3.37471,2022-11
Iron Thorns,3.32009,2022-11
Maushold,2.86254,2022-11
Tyranitar,2.836,2022-11
Hippowdon,2.63243,2022-11
Iron Jugulis,2.61978,2022-11
Baxcalibur,2.46154,2022-11
Quaquaval,2.36315,2022-11
Slither Wing,2.35185,2022-11
Meowscarada,2.30742,2022-11
Dachsbun,2.25198,2022-11
Hawlucha,2.20689,2022-11
Brute Bonnet,2.06378,2022-11
Annihilape,1.99416,2022-11
Wo-Chien,1.94772,2022-11
Dondozo,1.91868,2022-11
Scizor,1.8704,2022-11
Avalugg,1.71831,2022-11
Toedscruel,1.70004,2022-11
Pelipper,1.66934,2022-11
Torkoal,1.59844,2022-11
Orthworm,1.55825,2022-11
Scovillain,1.44048,2022-11
Arcanine,1.28208,2022-11
Armarouge,1.18502,2022-11
Tinkaton,1.1519,2022-11
Forretress,1.09662,2022-11
Espathra,1.05027,2022-11
Sandy Shocks,1.02055,2022-11
