name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Miraidon,2022-11,Choice Scarf,25.989,Choice Specs,24.462,Life Orb,12.745,Leftovers,9.993,Heavy-Duty Boots,6.923,Focus Sash,3.890,Assault Vest,3.011,Eject Pack,2.881,Terrain Extender,2.398,Magnet,1.515,Electric Seed,1.411,Other,4.782,,,,,,,,,,,,,,,,,,
Koraidon,2022-11,Choice Band,22.677,Choice Scarf,20.741,Leftovers,16.028,Life Orb,12.619,Heat Rock,6.229,Assault Vest,4.340,Focus Sash,3.748,Heavy-Duty Boots,2.043,Muscle Band,1.781,Black Belt,1.675,Lum Berry,1.629,Rocky Helmet,1.328,Haban Berry,1.206,Other,3.956,,,,,,,,,,,,,,
Flutter Mane,2022-11,Booster Energy,35.014,Life Orb,17.169,Choice Specs,16.244,Choice Scarf,14.524,Focus Sash,4.863,Leftovers,4.073,Heavy-Duty Boots,2.370,Assault Vest,1.481,Other,4.262,,,,,,,,,,,,,,,,,,,,,,,,
Great Tusk,2022-11,Leftovers,43.087,Choice Scarf,12.998,Focus Sash,11.962,Booster Energy,10.159,Assault Vest,4.870,Rocky Helmet,4.213,Soft Sand,3.430,Life Orb,3.180,Salac Berry,2.669,Other,3.433,,,,,,,,,,,,,,,,,,,,,,
Iron Treads,2022-11,Leftovers,43.476,Assault Vest,24.273,Focus Sash,8.488,Booster Energy,8.187,Choice Band,4.652,Soft Sand,2.310,Heavy-Duty Boots,1.781,Aguav Berry,1.188,Air Balloon,1.147,Other,4.497,,,,,,,,,,,,,,,,,,,,,,
Chien-Pao,2022-11,Life Orb,30.439,Focus Sash,23.740,Choice Band,22.096,Heavy-Duty Boots,13.957,Choice Scarf,5.243,Other,4.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Bundle,2022-11,Choice Specs,36.528,Heavy-Duty Boots,26.528,Life Orb,19.827,Choice Scarf,5.509,Focus Sash,4.386,Booster Energy,3.556,Other,3.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corviknight,2022-11,Leftovers,54.794,Rocky Helmet,38.428,Weakness Policy,4.441,Other,2.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clodsire,2022-11,Leftovers,68.181,Black Sludge,25.799,Heavy-Duty Boots,4.367,Other,1.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roaring Moon,2022-11,Booster Energy,42.324,Life Orb,17.660,Choice Scarf,10.618,Focus Sash,8.182,Haban Berry,7.095,Choice Band,6.128,Leftovers,1.646,Mirror Herb,1.302,Muscle Band,1.092,Other,3.954,,,,,,,,,,,,,,,,,,,,,,
Ting-Lu,2022-11,Leftovers,95.430,Other,4.570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeledirge,2022-11,Heavy-Duty Boots,71.147,Leftovers,16.682,Rocky Helmet,5.516,Assault Vest,2.824,Other,3.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-11,Life Orb,31.572,Booster Energy,21.713,Focus Sash,16.162,Choice Band,11.196,Choice Scarf,5.455,Rocky Helmet,2.798,Leftovers,2.196,Black Belt,2.131,Choice Specs,1.558,Assault Vest,1.520,Other,3.699,,,,,,,,,,,,,,,,,,,,
Ditto,2022-11,Choice Scarf,99.770,Other,0.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palafin,2022-11,Choice Band,38.488,Choice Scarf,28.632,Leftovers,16.967,Life Orb,6.892,Sitrus Berry,2.196,Punching Glove,2.166,Other,4.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimmsnarl,2022-11,Light Clay,99.544,Other,0.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blissey,2022-11,Heavy-Duty Boots,78.241,Leftovers,21.759,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scream Tail,2022-11,Leftovers,78.104,Heavy-Duty Boots,19.044,Other,2.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxapex,2022-11,Rocky Helmet,58.541,Eject Button,21.280,Black Sludge,11.632,Mental Herb,6.857,Other,1.690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi-Yu,2022-11,Choice Specs,35.599,Choice Scarf,33.188,Leftovers,15.507,Life Orb,11.025,Other,4.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclizar,2022-11,Choice Scarf,43.451,Sitrus Berry,23.017,Heavy-Duty Boots,20.858,Leftovers,10.053,Other,2.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
